YEAR,RANKING,Country,Regional indicator,HAPPINESS SCORE,HAPPINESS SCORE MIN-MAX NORMALIZATION,STANDARDIZATION,GDP PER CAPITA (Billions),GDP PER CAPITA (Billions) MIN-MAX NORMALIZATION,STANDARDIZATION,SOCIAL SUPPORT,SOCIAL SUPPORT MIN-MAX NORMALIZATION,STANDARDIZATION,HEALTHY LIFE EXPECTANCY,HEALTHY LIFE EXPECTANCY MIN-MAX NORMALIZATION,STANDARDIZATION,FREEDOM TO MAKE LIFE CHOICES,FREEDOM TO MAKE LIFE CHOICES MIN-MAX NORMALIZATION,STANDARDIZATION,GENEROSITY,GENEROSITY MIN-MAX NORMALIZATION,STANDARDIZATION,PERCEPTION OF CORRUPTION,PERCEPTION OF CORRUPTION MIN-MAX NORMALIZATION,STANDARDIZATION,POPULATION
2015,111,Ukraine,Commonwealth of Independent States,4.68,0.59,0.22,4.73,0.00,-0.72,0.86,0.98,0.45,63,0.00,-1.15,0.38,0.35,-0.31,0.19,0.00,-1.14,0.95,0.96,1.11,44.823.765
2016,123,Ukraine,Western Europe,4.32,0.23,-0.74,9.99,1.00,2.58,0.86,0.98,0.44,68,0.45,0.22,0.21,0.05,-1.07,0.25,0.11,-0.80,0.04,0.02,-0.77,44.624.373
2017,132,Ukraine,Commonwealth of Independent States,4.10,0.00,-1.35,4.78,0.01,-0.68,0.87,1.00,0.52,64,0.09,-0.88,0.19,0.00,-1.19,0.32,0.25,-0.35,0.05,0.03,-0.74,44.405.055
2018,138,Ukraine,Commonwealth of Independent States,4.10,0.01,-1.33,4.81,0.02,-0.67,0.48,0.00,-2.81,66,0.27,-0.33,0.22,0.07,-1.01,0.31,0.23,-0.41,0.03,0.00,-0.79,44.170.002
2019,133,Ukraine,Commonwealth of Independent States,4.33,0.24,-0.71,4.87,0.03,-0.63,0.86,0.98,0.44,71,0.73,1.04,0.28,0.18,-0.74,0.33,0.27,-0.30,0.02,0.00,-0.80,43.926.350
2020,123,Ukraine,Commonwealth of Independent States,4.56,0.47,-0.10,5.08,0.07,-0.50,0.85,0.97,0.41,65,0.18,-0.60,0.46,0.50,0.09,0.31,0.23,-0.40,0.98,1.00,1.19,43.679.300
2021,110,Ukraine,Commonwealth of Independent States,4.87,0.79,0.73,5.59,0.16,-0.18,0.82,0.87,0.10,65,0.18,-0.60,0.58,0.73,0.66,0.33,0.27,-0.28,0.98,1.00,1.19,43.429.742
2022,98,Ukraine,Commonwealth of Independent States,5.08,1.00,1.29,6.39,0.32,0.32,0.82,0.88,0.11,74,1.00,1.87,0.64,0.83,0.93,0.40,0.40,0.14,0.03,0.01,-0.79,43.175.649
2023,92,Ukraine,Commonwealth of Independent States,5.07,0.99,1.26,6.17,0.28,0.19,0.84,0.92,0.26,65,0.18,-0.60,0.71,0.97,1.28,0.63,0.84,1.52,0.97,0.99,1.16,42.915.984
2024,102,Ukraine,Commonwealth of Independent States,4.87,0.79,0.73,6.31,0.30,0.27,0.81,0.86,0.07,71,0.73,1.04,0.73,1.00,1.36,0.71,1.00,2.02,0.04,0.02,-0.75,42.648.959
